name,description,long_description,date,importance,unemployment_rate,unemployment_rate_6m,unemployment_rate_12m,unemployment_rate_18m,unemployment_rate_24m,gdp,gdp_6m,gdp_12m,gdp_18m,gdp_24m,cpi,cpi_6m,cpi_12m,cpi_18m,cpi_24m,oil_price,oil_price_6m,oil_price_12m,oil_price_18m,oil_price_24m
Arab Spring,A series of anti-government protests and uprisings across the Arab world.,"The Arab Spring began in late 2010 with protests in Tunisia against rising unemployment and corruption. The movement quickly spread to countries like Egypt, Libya, Yemen, and Syria. As authoritarian regimes were challenged, several governments were either overthrown or faced significant upheaval. The unrest led to economic instability in the region, affecting oil prices and foreign investment. Countries experiencing conflict, like Libya and Syria, faced severe declines in their economies, causing ripple effects on global markets due to their strategic locations and resources.",2010-12-01,4,9.3,9.0,8.5,8.2,7.7,16960.864,17035.114,17222.583,17444.525,17489.852,0.8307821,1.256079,2.045078,2.188203,2.195661,89.04,101.33,98.57,94.7,86.66
Fukushima Nuclear Disaster,A catastrophic nuclear accident following a tsunami in Japan.,"In March 2011, a massive earthquake and subsequent tsunami struck Japan, causing a meltdown at the Fukushima Daiichi Nuclear Power Plant. The disaster resulted in radioactive leaks, forcing thousands to evacuate and leading to long-term health concerns. The environmental impact was profound, affecting Japan's agriculture and fishing industries, which suffered substantial losses. The disaster prompted a re-evaluation of nuclear energy policies worldwide, leading many countries to halt or reduce their nuclear programs, which in turn influenced global energy markets and investment flows.",2011-03-11,5,9.0,9.0,8.2,7.8,7.5,16920.632,17031.313,17367.01,17469.65,17662.4,1.179972,1.721515,2.122799,2.219253,2.096923,102.94,85.61,106.19,94.72,93.05
Chinese Stock Market Crash,A major stock market crash in China affecting global markets.,"In mid-2015, China's stock market experienced a dramatic collapse, losing around 30% of its value within weeks. This crash was triggered by speculative trading and regulatory missteps. The decline heavily impacted global markets, as China is a significant driver of the world economy. Falling Chinese stock prices led to fears of slowing economic growth, affecting commodity prices, foreign investments, and trade partnerships. Countries heavily reliant on exports to China faced economic uncertainties, highlighting the interconnectedness of the global economy.",2015-06-01,4,5.3,5.1,4.8,4.7,4.4,18782.243,18892.206,19062.709,19304.352,19506.949,2.103732,2.394625,2.565678,2.518564,2.139634,59.82,42.44,46.71,45.66,48.48
U.S.-China Trade War,An ongoing economic conflict between the United States and China.,"Starting in 2018, the U.S. initiated tariffs on Chinese imports to address trade imbalances and intellectual property theft concerns. China retaliated with tariffs of its own, escalating a trade war that affected businesses globally. The uncertainty created by the trade war slowed economic growth in both countries and disrupted global supply chains. Companies faced increased costs, leading to higher consumer prices, reduced profits, and changes in international trade dynamics. The conflict has prompted businesses to rethink their manufacturing and sourcing strategies, affecting economic relationships between the two largest economies.",2018-07-01,5,3.8,3.9,3.7,3.6,11.0,20276.154,20304.874,20843.322,20985.448,19056.617,2.518753,2.456173,2.475923,2.752609,1.993544,70.98,49.52,57.35,59.88,38.31
COVID-19 Pandemic,A global pandemic that led to widespread economic disruption.,"The COVID-19 pandemic emerged in late 2019 and rapidly spread worldwide in 2020, causing unprecedented health and economic crises. Governments implemented lockdowns to control the virus's spread, leading to a massive decline in economic activity. Industries such as travel, hospitality, and retail were severely impacted, resulting in millions of job losses and business closures. Governments introduced stimulus measures to mitigate the economic fallout. The pandemic highlighted vulnerabilities in global supply chains and accelerated trends like remote work and e-commerce, reshaping how economies function and recover.",2020-01-01,5,3.6,11.0,6.7,5.9,3.9,20693.238,19056.617,20771.691,21389.005,21960.388,2.790484,1.993544,1.600671,2.558145,3.456458,57.52,38.31,47.02,71.38,71.71
Brexit Referendum,"The United Kingdom voted to leave the European Union, impacting global markets.","In June 2016, the UK held a referendum in which 51.9% of voters chose to leave the European Union. The immediate aftermath saw a dramatic fall in the value of the British pound, creating uncertainty in financial markets. The ongoing negotiations over the terms of the UK's exit led to prolonged periods of economic instability and volatility. These conditions affected investments, trade agreements, and economic growth forecasts both within the UK and the EU. The Brexit process highlighted challenges related to trade, immigration, and political dynamics, ultimately reshaping the economic landscape in Europe.",2016-06-23,4,4.9,4.7,4.3,4.1,4.0,19062.709,19304.352,19506.949,19882.352,20150.476,2.563629,2.585286,2.122109,2.117186,2.551897,48.76,51.97,45.18,57.88,67.87
Expansion of the African Continental Free Trade Area (AfCFTA),A landmark agreement aimed at reducing tariffs and promoting intra-African trade.,"In March 2018, 44 African nations signed the AfCFTA agreement aimed at creating a single continental market for goods and services across Africa. This historic pact aimed to enhance intra-African trade, which has long been hindered by tariffs and trade barriers. The agreement was expected to raise the continent's economic growth, stimulate job creation, and improve trade flows between African nations. As countries began to implement the agreement, it sparked discussions about regional economic integration and development, with the potential for long-term economic benefits for member nations.",2018-03-21,4,4.0,3.7,3.8,3.5,4.4,20044.077,20276.154,20431.641,20843.322,20693.238,2.366925,2.462881,2.356946,2.622934,2.606553,62.73,70.23,58.15,56.95,29.21
U.S. Economic Expansion,An extended period of economic growth in the United States following the Great Recession.,"In the decade following the 2008 financial crisis, the U.S. economy experienced a prolonged expansion, marked by decreasing unemployment rates, rising stock markets, and growth in various sectors such as technology and manufacturing. This expansion was characterized by policy measures including low-interest rates and quantitative easing by the Federal Reserve. The growing economy supported global markets, as the U.S. remained an essential trade partner for many countries. However, the expansion also led to debates about income inequality, wage stagnation, and the sustainability of growth trends, setting the stage for tensions faced later during the pandemic.",2010-01-01,5,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
California Wildfires,"A series of destructive wildfires affecting California, linked to climate change.","Throughout the 2010s, California experienced increasingly severe wildfires fueled by prolonged drought and climate change. The fires destroyed homes, forced evacuations, and disrupted local economies, particularly in sectors like tourism and agriculture. The 2018 Camp Fire in Paradise was one of the deadliest, leading to significant property damage and loss of life. The economic impact included rising insurance costs, increased demand for rebuilding efforts, and broader discussions about climate resilience and sustainability. These events prompted local and state governments to invest more in fire prevention and management strategies, reshaping fiscal priorities.",2018-01-01,4,4.0,4.0,4.0,3.6,3.6,20044.077,20150.476,20431.641,20602.275,20693.238,2.157823,2.551897,2.375054,2.392597,2.790484,63.7,67.87,51.38,54.66,57.52
COVID-19 Pandemic Declared,Global pandemic announcement,"In March 2020, the World Health Organization declared COVID-19 a global pandemic. The virus rapidly spread across the globe, leading to widespread health crises, lockdowns, and significant changes in daily life. Economically, the pandemic caused unprecedented disruptions. Governments imposed travel restrictions and social distancing measures that resulted in the closure of non-essential businesses. Global supply chains were disrupted, leading to shortages of goods and spikes in prices. Many industries, especially travel, hospitality, and retail, faced severe declines in revenue, leading to massive layoffs and furloughs. The global economy, which had seen consistent growth, entered a recession as GDP contracted in many nations, and governments implemented stimulus packages to mitigate the economic fallout.",2020-03-11,5,4.4,7.8,6.1,4.7,3.6,20693.238,20548.793,21058.379,21571.421,21903.85,2.606553,1.980283,1.592366,2.610662,4.534344,29.21,39.63,62.33,71.65,108.5
U.S. Economic Stimulus Packages,Government response to economic crisis,"In response to the economic fallout from the COVID-19 pandemic, the U.S. government launched several economic stimulus packages beginning in March 2020. The Coronavirus Aid, Relief, and Economic Security (CARES) Act provided direct payments to individuals, expanded unemployment benefits, and provided loans to businesses to help them retain employees. The total cost of the first round of stimulus was approximately $2 trillion. These measures were designed to boost consumer spending and stabilize the economy amid unprecedented job losses and reduced incomes. The impact was significant in preventing a complete economic collapse, leading to a gradual recovery as businesses reopened, although challenges like inflation began to emerge later as demand surged.",2020-03-27,4,4.4,7.8,6.1,4.7,3.6,20693.238,20548.793,21058.379,21571.421,21903.85,2.606553,1.980283,1.592366,2.610662,4.534344,29.21,39.63,62.33,71.65,108.5
Global Supply Chain Crisis,Post-pandemic supply chain disruptions,"Starting in 2020 and continuing into 2021 and beyond, the global economy experienced a supply chain crisis primarily due to COVID-19 related disruptions. As nations slowly reopened, demand for goods surged, but production and shipping struggled to keep pace. Factors such as port congestion, labor shortages, and delays caused substantial delays in the delivery of products. Prices for goods skyrocketed due to the imbalance of supply and demand. This crisis also highlighted vulnerabilities in global supply chains, prompting companies to rethink their logistics and sourcing strategies, leading to a shift towards more localized production in some cases. Major industries such as automotive and electronics were particularly affected, experiencing significant production halts.",2021-09-01,5,4.7,3.8,3.5,3.6,3.8,21571.421,21903.85,22066.784,22403.435,22780.933,2.610662,4.280304,6.348017,6.525,4.95977,71.65,91.64,84.26,76.83,89.43
Russia-Ukraine War,Geopolitical conflict and economic impact,"In February 2022, Russia launched a military invasion of Ukraine, leading to significant geopolitical tensions and economic ramifications worldwide. The conflict resulted in severe sanctions imposed on Russia by Western nations, which in turn led to spiraling energy prices as Europe, heavily dependent on Russian gas, sought alternative sources. The war further exacerbated global inflation rates, particularly in food and energy sectors, as Ukraine, a major exporter of grains, faced production disruptions. As a result, many countries grappled with rising costs of living and economic instability. The war heightened volatility in global markets and forced countries to reconsider their energy sources and trade partnerships.",2022-02-24,5,3.8,3.6,3.6,3.8,3.9,21903.85,22066.784,22403.435,22780.933,23053.545,4.280304,5.951312,6.525,5.172225,4.403102398,91.64,93.67,76.83,81.39,77.25
Inflation Surge in the U.S.,Rising prices affecting economies,"Beginning in mid-2021 and continuing into 2022, the U.S. experienced a significant surge in inflation rates, reaching levels not seen in decades. The Consumer Price Index rose sharply, driven by supply chain disruptions, increased demand as the economy recovered from the pandemic, and rising energy prices due to the geopolitical situation stemming from the Russia-Ukraine war. The Federal Reserve responded by gradually raising interest rates, aiming to rein in inflation. This situation had profound implications for households and businesses, with higher borrowing costs and reduced consumer spending impacting overall economic growth. Inflation became a central issue in economic discussions, affecting election outcomes and public sentiment.",2021-06-01,4,5.9,4.1,3.6,3.6,3.6,21389.005,21960.388,21919.222,22249.459,22539.418,2.558145,3.184384,5.39633,6.422543,5.586684,71.38,79.15,114.84,84.37,70.25
Global Food Crisis,Food shortages and rising prices,"In the wake of the COVID-19 pandemic and the ongoing conflict in Ukraine, a global food crisis emerged in 2022. Key agricultural regions faced production challenges due to adverse weather conditions, supply chain disruptions, and the war’s impact on grain exports from Ukraine. The Food and Agriculture Organization warned of rising food prices, which hit low-income countries hardest. Governments around the world scrambled to protect their food supply chains, with some implementing export bans, further driving up prices. This crisis intensified food insecurity for millions and sparked social unrest in various regions, highlighting the interlinked nature of global agriculture and economics.",2022-05-01,5,3.6,3.6,3.7,3.8,3.9,21919.222,22249.459,22539.418,22960.6,23223.906,4.950974,6.312946,5.975255,4.882928,4.412394524,109.55,87.55,71.58,85.64,85.35
Tech Layoffs Surge,Massive job cuts in the tech sector,"Beginning in late 2022 into 2023, the technology sector saw a wave of layoffs as many companies overexpanded during the pandemic. Major firms like Meta, Amazon, and Google announced significant job cuts, citing economic uncertainty and the need to stabilize costs. The layoffs affected tens of thousands of workers and signaled a shift in the tech industry towards more cautious growth strategies. This trend raised concerns about the broader economic outlook as the tech sector had been a key driver of job creation and economic stimulation in previous years. Unemployment rates in tech rose sharply, impacting consumer spending and investment in the sector.",2022-11-01,3,3.6,3.4,3.7,3.9,4.1,22249.459,22539.418,22960.6,23223.906,23223.906,6.422543,6.264224,4.688293,4.412394524,4.010873318,84.37,79.45,77.69,85.35,70.24
Central Bank Digital Currencies,Adoption of digital currencies,"In the mid-2020s, several countries began exploring and piloting Central Bank Digital Currencies (CBDCs) as part of their monetary policy strategies. Nations like China launched the e-Yuan in 2021, and others followed suit amidst discussions on the future of digital financial systems. CBDCs aimed to improve payment efficiency, enhance financial inclusion, and provide more robust mechanisms for implementing monetary policy. However, the introduction of digital currencies raised questions about privacy, security, and the stability of existing banking systems. The move towards CBDCs marked a significant shift in the global financial landscape, with potential long-term implications for traditional banking and international financial transactions.",2022-01-15,4,4.0,3.5,3.4,3.5,3.7,21903.85,22066.784,22403.435,22780.933,23053.545,3.965498,5.59073,6.487554,5.405751,4.603922367,83.22,101.62,78.12,76.07,74.15
Climate Change Policy Initiatives,Global focus on climate action,"Between 2021 and 2025, global attention increased on climate change and sustainable economic practices. Major economies like the U.S. and the EU implemented ambitious climate policies aimed at reducing carbon emissions and transitioning to renewable energy sources. The U.S. rejoined the Paris Agreement in 2021, and nations committed to net-zero targets, prompting shifts in investment towards green technologies. These initiatives catalyzed growth in renewable energy sectors, as companies adapted to new regulations and increased consumer demand for sustainable options. However, the transition also posed challenges for traditional industries and raised concerns over job losses in fossil fuel-dependent sectors, creating a complex economic landscape.",2021-01-01,4,6.4,5.9,4.0,3.6,3.4,21058.379,21389.005,21903.85,21919.222,22403.435,1.400569,2.558145,3.965498,5.39633,6.487554,52.0,71.38,83.22,114.84,78.12
U.S. Federal Reserve's Rate Hikes,Aggressive monetary policy response to inflation,"In 2022 and into 2023, faced with soaring inflation, the U.S. Federal Reserve embarked on an aggressive series of interest rate hikes aimed at curbing price increases. The Federal Reserve raised rates several times, marking one of the most rapid increases in recent history. This tightening of monetary policy aimed to reduce consumer spending and investment, which had surged during the pandemic recovery. While the Fed's actions were intended to stabilize the economy, they also raised concerns regarding potential recession. The impact was felt across various sectors, as higher borrowing costs affected both consumers and businesses, leading to reduced growth forecasts and an anticipation of economic slowdown.",2022-03-15,4,3.6,3.5,3.5,3.8,3.8,21903.85,22066.784,22403.435,22780.933,23053.545,4.534344,6.348017,6.390946,4.95977,4.509212494,108.5,84.26,73.28,89.43,81.28
